회원번호,날짜,우유,소고기,열대과일,버터,뿌리채소,기타 채소,사과/배,롤빵,생크림/사워크림,닭고기,생수,다진고기,페이스트리,감귤류,가공치즈,식빵,스낵,과일/채소주스,요거트,응고유,계란,커피,돼지고기,프리미엄 초콜릿,디저트,아이스크림,베리류,보관용 빵류,통밀빵,기타 음료,반조리 빵,쇼핑백,발라먹는 치즈,초콜릿,신문,냉동채소,차,사탕
1008,21-07-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,14-05-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,23-09-2015,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1010,2005-03-14,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,23-08-2014,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,31-07-2015,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,15-02-2014,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1011,2009-12-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,19-11-2015,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,27-03-2015,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1013,20-02-2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,2002-10-15,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1013,2012-11-14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,26-03-2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,2003-10-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,2004-09-14,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,2004-05-15,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1015,22-03-2015,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1015,28-06-2014,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1016,19-07-2015,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,30-09-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,16-05-2015,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,19-06-2014,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1017,30-09-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,2001-10-14,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1019,2010-12-14,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,2007-11-15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,22-10-2015,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1022,2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,22-02-2014,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,13-06-2014,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1023,17-05-2014,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,2006-01-15,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,28-06-2015,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1023,30-12-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,2010-08-15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,2006-02-14,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1026,15-03-2015,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1026,2008-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,23-08-2014,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1026,28-05-2015,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,17-05-2015,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1027,25-02-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,2005-04-14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,2010-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1028,24-04-2014,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,14-03-2015,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1031,15-10-2015,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,2004-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1032,13-07-2015,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1032,15-06-2015,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1032,23-08-2015,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1032,23-09-2014,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1033,15-06-2015,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,18-04-2014,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1033,21-04-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,22-04-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,13-05-2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,24-02-2014,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,28-04-2014,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,15-08-2014,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,2008-09-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,23-05-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,24-04-2015,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1036,20-01-2014,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1037,2006-06-14,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1037,24-02-2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,2002-04-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,2010-04-15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,21-02-2015,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1038,23-04-2015,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,31-05-2015,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1040,14-06-2014,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1040,2003-09-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,24-10-2014,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,26-11-2015,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,13-06-2014,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,2002-04-15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,29-06-2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,16-10-2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,2012-02-15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,22-05-2015,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1043,14-03-2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,2010-01-15,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1044,2009-02-15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,25-10-2015,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,2010-04-14,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1045,2012-01-14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,25-11-2015,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,18-06-2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,24-06-2015,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1047,2004-01-15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1048,18-10-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,2006-10-15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,2001-07-15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,2004-08-15,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1050,2010-10-14,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,13-01-2014,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,17-09-2014,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1051,2010-11-15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,2012-08-15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,2012-10-15,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,13-10-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,15-01-2014,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,20-11-2014,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,2004-01-14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,2005-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,2006-07-15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1052,24-03-2014,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,27-10-2015,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1052,29-09-2014,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,2005-11-14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,2009-07-15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,25-05-2015,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1056,13-09-2015,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,2009-11-15,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,2006-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,2006-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,2007-08-14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1058,2010-11-15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,24-05-2014,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,14-06-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,17-03-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,2005-09-15,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,31-07-2014,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,16-04-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,18-09-2015,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1063,2007-06-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,23-01-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,2003-09-14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,25-07-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1065,14-01-2014,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,2005-11-14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,23-01-2014,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,27-10-2015,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,2001-02-14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,20-07-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,2005-03-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,2008-04-15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,2001-07-15,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1068,2008-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,20-01-2014,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1069,20-05-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1069,20-08-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,2010-04-14,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1071,26-09-2014,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1073,2005-06-14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1073,2008-06-15,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1074,16-10-2015,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1074,2004-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1074,24-06-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1075,19-11-2015,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1075,29-01-2015,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,14-05-2015,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,24-12-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,2007-10-14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,2012-09-15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,29-09-2014,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1077,30-12-2014,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,28-08-2014,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,28-10-2015,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1079,2009-09-15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,14-05-2015,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,2003-05-15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,2006-03-15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,21-01-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,25-04-2015,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1082,13-05-2014,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,20-03-2014,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,15-07-2014,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1083,15-11-2014,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,2006-02-15,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1085,15-08-2015,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,24-04-2014,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,17-11-2015,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,2010-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1086,27-07-2014,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,28-12-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,16-12-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,19-03-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,20-04-2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,25-07-2014,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,26-02-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,14-01-2015,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1088,2009-11-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,30-11-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,2005-12-14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1090,2004-10-15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,21-10-2015,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1090,31-08-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,16-05-2015,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,2003-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1092,27-07-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,28-03-2015,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1094,16-05-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,2007-01-15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,2008-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,2011-12-14,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,25-03-2014,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1095,30-10-2015,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,28-07-2015,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,16-04-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,2001-11-15,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,2003-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1097,2012-10-14,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,19-01-2015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,2005-08-15,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
1098,27-09-2015,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,13-08-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1099,29-08-2014,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,18-12-2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,20-02-2014,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,2012-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,28-12-2014,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,27-06-2015,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,30-09-2014,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1103,2012-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1103,25-05-2014,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,18-03-2015,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1104,2004-01-15,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1104,2009-05-14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1104,27-10-2015,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1105,22-05-2015,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1107,15-05-2014,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,2001-10-15,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1107,2003-01-15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,2006-05-15,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1107,26-09-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1108,22-05-2014,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1108,22-08-2014,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1108,30-07-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1109,14-10-2014,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1109,2006-04-15,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1109,22-11-2014,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,31-10-2014,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,13-10-2014,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,15-11-2015,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1110,20-11-2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,2011-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,20-11-2015,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,2003-03-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,24-10-2014,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,2009-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1113,2002-02-14,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1113,2007-01-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,29-03-2015,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1114,14-12-2014,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,2004-09-14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
