Antecedent,Consequent,Support,Confidence,Coverage,Strength,Lift,Leverage
"우유=1, 롤빵=1, 감귤류=1","소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 감귤류=1","우유=1, 소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 기타 채소=1, 롤빵=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 기타 채소=1, 롤빵=1","소고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1","우유=1, 소고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 소고기=1, 롤빵=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 롤빵=1","우유=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 소고기=1, 기타 채소=1","롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 기타 채소=1","우유=1, 롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 기타 채소=1, 감귤류=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"우유=1, 기타 채소=1, 감귤류=1","소고기=1, 롤빵=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 감귤류=1","우유=1, 소고기=1, 롤빵=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 소고기=1, 감귤류=1","기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 감귤류=1","우유=1, 기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
뿌리채소=1,우유=1,0.012,1,0.012,80.643,1,0
"소고기=1, 뿌리채소=1",우유=1,0.001,1,0.001,1129,1,0
"뿌리채소=1, 기타 채소=1",우유=1,0.001,1,0.001,1129,1,0
"소고기=1, 기타 채소=1",뿌리채소=1,0.001,0.5,0.002,7,40.321,0.001
"뿌리채소=1, 기타 채소=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 뿌리채소=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"우유=1, 소고기=1, 기타 채소=1",뿌리채소=1,0.001,0.5,0.002,7,40.321,0.001
"소고기=1, 기타 채소=1","우유=1, 뿌리채소=1",0.001,0.5,0.002,7,40.321,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 뿌리채소=1, 기타 채소=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 기타 채소=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"우유=1, 소고기=1, 뿌리채소=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"소고기=1, 뿌리채소=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
롤빵=1,뿌리채소=1,0.003,0.167,0.016,0.778,13.44,0.002
뿌리채소=1,롤빵=1,0.003,0.214,0.012,1.286,13.44,0.002
"우유=1, 롤빵=1",뿌리채소=1,0.003,0.167,0.016,0.778,13.44,0.002
롤빵=1,"우유=1, 뿌리채소=1",0.003,0.167,0.016,0.778,13.44,0.002
"뿌리채소=1, 롤빵=1",우유=1,0.003,1,0.003,376.333,1,0
"우유=1, 뿌리채소=1",롤빵=1,0.003,0.214,0.012,1.286,13.44,0.002
뿌리채소=1,"우유=1, 롤빵=1",0.003,0.214,0.012,1.286,13.44,0.002
"소고기=1, 롤빵=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 롤빵=1",소고기=1,0.001,0.333,0.003,4.667,26.881,0.001
"소고기=1, 뿌리채소=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"우유=1, 소고기=1, 롤빵=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 롤빵=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"소고기=1, 뿌리채소=1, 롤빵=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 뿌리채소=1, 롤빵=1",소고기=1,0.001,0.333,0.003,4.667,26.881,0.001
"뿌리채소=1, 롤빵=1","우유=1, 소고기=1",0.001,0.333,0.003,4.667,26.881,0.001
"우유=1, 소고기=1, 뿌리채소=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"소고기=1, 뿌리채소=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"기타 채소=1, 롤빵=1",뿌리채소=1,0.001,0.5,0.002,7,40.321,0.001
"뿌리채소=1, 롤빵=1",기타 채소=1,0.001,0.333,0.003,5,25.089,0.001
"뿌리채소=1, 기타 채소=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"우유=1, 기타 채소=1, 롤빵=1",뿌리채소=1,0.001,0.5,0.002,7,40.321,0.001
"기타 채소=1, 롤빵=1","우유=1, 뿌리채소=1",0.001,0.5,0.002,7,40.321,0.001
"뿌리채소=1, 기타 채소=1, 롤빵=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 뿌리채소=1, 롤빵=1",기타 채소=1,0.001,0.333,0.003,5,25.089,0.001
"뿌리채소=1, 롤빵=1","우유=1, 기타 채소=1",0.001,0.333,0.003,5,25.089,0.001
"우유=1, 뿌리채소=1, 기타 채소=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"뿌리채소=1, 기타 채소=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"소고기=1, 기타 채소=1, 롤빵=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"기타 채소=1, 롤빵=1","소고기=1, 뿌리채소=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 기타 채소=1, 롤빵=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 뿌리채소=1, 롤빵=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"소고기=1, 롤빵=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1","소고기=1, 기타 채소=1",0.001,0.333,0.003,0.667,188.167,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"소고기=1, 기타 채소=1","뿌리채소=1, 롤빵=1",0.001,0.5,0.002,1.5,188.167,0.001
"뿌리채소=1, 기타 채소=1","소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1","기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 기타 채소=1, 롤빵=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"소고기=1, 기타 채소=1, 롤빵=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"우유=1, 기타 채소=1, 롤빵=1","소고기=1, 뿌리채소=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1","우유=1, 소고기=1, 뿌리채소=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 뿌리채소=1, 롤빵=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 소고기=1, 롤빵=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1","우유=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 롤빵=1","소고기=1, 기타 채소=1",0.001,0.333,0.003,0.667,188.167,0.001
"뿌리채소=1, 롤빵=1","우유=1, 소고기=1, 기타 채소=1",0.001,0.333,0.003,0.667,188.167,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"우유=1, 소고기=1, 기타 채소=1","뿌리채소=1, 롤빵=1",0.001,0.5,0.002,1.5,188.167,0.001
"소고기=1, 기타 채소=1","우유=1, 뿌리채소=1, 롤빵=1",0.001,0.5,0.002,1.5,188.167,0.001
"우유=1, 뿌리채소=1, 기타 채소=1","소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1","우유=1, 소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 뿌리채소=1","기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 뿌리채소=1","우유=1, 기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"소고기=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 뿌리채소=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"우유=1, 소고기=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 감귤류=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"소고기=1, 뿌리채소=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 뿌리채소=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 감귤류=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"우유=1, 소고기=1, 뿌리채소=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"소고기=1, 뿌리채소=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"기타 채소=1, 감귤류=1",뿌리채소=1,0.001,0.5,0.002,7,40.321,0.001
"뿌리채소=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"뿌리채소=1, 기타 채소=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"우유=1, 기타 채소=1, 감귤류=1",뿌리채소=1,0.001,0.5,0.002,7,40.321,0.001
"기타 채소=1, 감귤류=1","우유=1, 뿌리채소=1",0.001,0.5,0.002,7,40.321,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 뿌리채소=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"뿌리채소=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 뿌리채소=1, 기타 채소=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"뿌리채소=1, 기타 채소=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"소고기=1, 기타 채소=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"기타 채소=1, 감귤류=1","소고기=1, 뿌리채소=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 뿌리채소=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"소고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 감귤류=1","소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"소고기=1, 기타 채소=1","뿌리채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 뿌리채소=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 기타 채소=1","소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 소고기=1, 기타 채소=1","뿌리채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 기타 채소=1","우유=1, 뿌리채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 뿌리채소=1, 기타 채소=1","소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1","우유=1, 소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 뿌리채소=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 뿌리채소=1","우유=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 기타 채소=1, 감귤류=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"우유=1, 기타 채소=1, 감귤류=1","소고기=1, 뿌리채소=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 감귤류=1","우유=1, 소고기=1, 뿌리채소=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 뿌리채소=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 소고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 감귤류=1","우유=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 감귤류=1","소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 감귤류=1","우유=1, 소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 롤빵=1",감귤류=1,0.001,0.333,0.003,5.667,22.137,0.001
"뿌리채소=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"우유=1, 롤빵=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"롤빵=1, 감귤류=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 뿌리채소=1, 롤빵=1",감귤류=1,0.001,0.333,0.003,5.667,22.137,0.001
"뿌리채소=1, 롤빵=1","우유=1, 감귤류=1",0.001,0.333,0.003,5.667,22.137,0.001
"우유=1, 뿌리채소=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"뿌리채소=1, 감귤류=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"소고기=1, 롤빵=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"롤빵=1, 감귤류=1","소고기=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 뿌리채소=1, 롤빵=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"소고기=1, 롤빵=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1","소고기=1, 감귤류=1",0.001,0.333,0.003,0.333,376.333,0.001
"소고기=1, 뿌리채소=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"소고기=1, 감귤류=1","뿌리채소=1, 롤빵=1",0.001,1,0.001,3,376.333,0.001
"뿌리채소=1, 감귤류=1","소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"소고기=1, 롤빵=1, 감귤류=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"우유=1, 롤빵=1, 감귤류=1","소고기=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 감귤류=1","우유=1, 소고기=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 롤빵=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 소고기=1, 롤빵=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1","우유=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 롤빵=1","소고기=1, 감귤류=1",0.001,0.333,0.003,0.333,376.333,0.001
"뿌리채소=1, 롤빵=1","우유=1, 소고기=1, 감귤류=1",0.001,0.333,0.003,0.333,376.333,0.001
"우유=1, 소고기=1, 뿌리채소=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1","우유=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 감귤류=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"우유=1, 소고기=1, 감귤류=1","뿌리채소=1, 롤빵=1",0.001,1,0.001,3,376.333,0.001
"소고기=1, 감귤류=1","우유=1, 뿌리채소=1, 롤빵=1",0.001,1,0.001,3,376.333,0.001
"우유=1, 뿌리채소=1, 감귤류=1","소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 감귤류=1","우유=1, 소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"롤빵=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 롤빵=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"기타 채소=1, 롤빵=1","뿌리채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 롤빵=1","기타 채소=1, 감귤류=1",0.001,0.333,0.003,0.667,188.167,0.001
"뿌리채소=1, 기타 채소=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"기타 채소=1, 감귤류=1","뿌리채소=1, 롤빵=1",0.001,0.5,0.002,1.5,188.167,0.001
"뿌리채소=1, 감귤류=1","기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 기타 채소=1, 롤빵=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 기타 채소=1, 롤빵=1","뿌리채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1","우유=1, 뿌리채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 뿌리채소=1, 롤빵=1","기타 채소=1, 감귤류=1",0.001,0.333,0.003,0.667,188.167,0.001
"뿌리채소=1, 롤빵=1","우유=1, 기타 채소=1, 감귤류=1",0.001,0.333,0.003,0.667,188.167,0.001
"우유=1, 뿌리채소=1, 기타 채소=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1","우유=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 롤빵=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 감귤류=1","우유=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"우유=1, 기타 채소=1, 감귤류=1","뿌리채소=1, 롤빵=1",0.001,0.5,0.002,1.5,188.167,0.001
"기타 채소=1, 감귤류=1","우유=1, 뿌리채소=1, 롤빵=1",0.001,0.5,0.002,1.5,188.167,0.001
"우유=1, 뿌리채소=1, 감귤류=1","기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 감귤류=1","우유=1, 기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 롤빵=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 감귤류=1","소고기=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","소고기=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 롤빵=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1","소고기=1, 뿌리채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 기타 채소=1, 롤빵=1","소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 롤빵=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 롤빵=1","뿌리채소=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1","소고기=1, 기타 채소=1, 감귤류=1",0.001,0.333,0.003,0.333,376.333,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
